"filename", "language", "HTML", "Python", "comment", "blank", "total"
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display_commands.py", "Python", 0, 96, 20, 30, 146
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io_commands.py", "Python", 0, -3, 1, 0, -2
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\test_dir_tree_command.py", "Python", 0, 107, 20, 33, 160
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\main.py", "Python", 0, 132, 9, 37, 178
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\session_manager.py", "Python", 0, 241, 29, 58, 328
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\__init__.py", "Python", 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\checker.py", "Python", 0, 19, -1, -6, 12
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\__init__.py", "Python", 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\session_state.py", "Python", 0, 69, 2, 16, 87
"c:\Users\xy\Documents\GitHub\OOP_lab1\test.html", "HTML", 4, 0, 0, 1, 5
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_dir_tree_command.py", "Python", 0, 161, 37, 55, 253
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_display_enhancements.py", "Python", 0, 138, 32, 49, 219
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_main_session_persistence.py", "Python", 0, 50, 9, 13, 72
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_comprehensive.py", "Python", 0, 298, 93, 108, 499
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_integration.py", "Python", 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_manager.py", "Python", 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_state.py", "Python", 0, 133, 37, 46, 216
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_system_integration.py", "Python", 0, 224, 51, 56, 331
"Total", "-", 4, 1665, 343, 500, 2512
