"filename", "language", "Python", "Ini", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\xy\Documents\GitHub\OOP_lab1\conftest.py", "Python", 11, 0, 0, 0, 1, 2, 14
"c:\Users\xy\Documents\GitHub\OOP_lab1\docs\detailed_dependencies.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\main.py", "Python", 73, 0, 0, 0, 13, 18, 104
"c:\Users\xy\Documents\GitHub\OOP_lab1\pytest.ini", "Ini", 0, 5, 0, 0, 0, 0, 5
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\base.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\dir_tree.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\print_tree.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\display\spell_check.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\append_command.py", "Python", 2, 0, 0, 0, 1, 0, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_id_command.py", "Python", -1, 0, 0, 0, 1, 0, 0
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\edit\edit_text_command.py", "Python", 6, 0, 0, 0, -4, 0, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\init.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\read.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\io\save.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\parser.py", "Python", -92, 0, 0, 0, -22, -32, -146
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\test_dir_tree_command.py", "Python", -107, 0, 0, 0, -20, -33, -160
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\writer.py", "Python", -45, 0, 0, 0, -9, -16, -70
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_element.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_model.py", "Python", 0, 0, 0, 0, 1, 0, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\html_writer.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\parser.py", "Python", 71, 0, 0, 0, 17, 20, 108
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\encoding_utils.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\test_comprehensive.py", "Python", -530, 0, 0, 0, -94, -178, -802
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_print_tree_command.py", "Python", 0, 0, 0, 0, 5, 2, 7
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_spell_check_command.py", "Python", 52, 0, 0, 0, 11, 13, 76
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_append_command.py", "Python", 16, 0, 0, 0, 4, 2, 22
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_delete_command.py", "Python", 19, 0, 0, 0, 7, 0, 26
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_id_command.py", "Python", 5, 0, 0, 0, -1, 0, 4
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_text_command.py", "Python", 3, 0, 0, 0, 1, 0, 4
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_insert_command.py", "Python", -54, 0, 0, 0, -15, -24, -93
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\conftest.py", "Python", 19, 0, 0, 0, 3, 4, 26
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\deep_nested.html", "HTML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\mock_spell_check.html", "HTML", 0, 0, 18, 0, 0, 1, 19
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\simple_tree.html", "HTML", 0, 0, -1, 0, 0, 0, -1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\special_chars.html", "HTML", 0, 0, 3, 0, 0, 0, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_comprehensive.py", "Python", -3, 0, 0, 0, 6, 0, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_edge_cases.py", "Python", 24, 0, 0, 0, 5, -3, 26
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_malformed_html.py", "Python", -6, 0, 0, 0, -1, 0, -7
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_real_world_scenarios.py", "Python", -13, 0, 0, 0, -4, -6, -23
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_init_command.py", "Python", 2, 0, 0, 0, 11, 0, 13
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_malformed_html.py", "Python", -6, 0, 0, 0, -3, -5, -14
