Date : 2025-03-28 23:07:18
Directory : c:\Users\xy\Documents\GitHub\OOP_lab1
Total : 119 files,  7847 codes, 1319 comments, 2238 blanks, all 11404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         99 |      6,983 |      1,319 |      1,963 |     10,265 |
| Markdown         |          8 |        666 |          0 |        264 |        930 |
| HTML             |          9 |        139 |          0 |          8 |        147 |
| JSON             |          1 |         37 |          0 |          1 |         38 |
| Ini              |          1 |         18 |          0 |          2 |         20 |
| pip requirements |          1 |          4 |          0 |          0 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        119 |      7,847 |      1,319 |      2,238 |     11,404 |
| . (Files)                                                                                |          7 |        600 |         29 |        201 |        830 |
| docs                                                                                     |          5 |        279 |          0 |        112 |        391 |
| docs (Files)                                                                             |          3 |        142 |          0 |         61 |        203 |
| docs\design                                                                              |          2 |        137 |          0 |         51 |        188 |
| src                                                                                      |         48 |      2,088 |        295 |        580 |      2,963 |
| src (Files)                                                                              |          3 |        376 |         40 |         96 |        512 |
| src\application                                                                          |          2 |         96 |          6 |         22 |        124 |
| src\commands                                                                             |         21 |        735 |        115 |        216 |      1,066 |
| src\commands (Files)                                                                     |          6 |        432 |         70 |        126 |        628 |
| src\commands\display                                                                     |          5 |          0 |          0 |          5 |          5 |
| src\commands\edit                                                                        |          6 |        303 |         45 |         81 |        429 |
| src\commands\io                                                                          |          4 |          0 |          0 |          4 |          4 |
| src\core                                                                                 |          7 |        296 |         46 |         89 |        431 |
| src\io                                                                                   |          4 |        236 |         52 |         76 |        364 |
| src\spellcheck                                                                           |          6 |        250 |         21 |         56 |        327 |
| src\spellcheck (Files)                                                                   |          4 |        236 |         13 |         52 |        301 |
| src\spellcheck\adapters                                                                  |          2 |         14 |          8 |          4 |         26 |
| src\state                                                                                |          2 |         69 |          3 |         17 |         89 |
| src\utils                                                                                |          3 |         30 |         12 |          8 |         50 |
| tests                                                                                    |         59 |      4,880 |        995 |      1,345 |      7,220 |
| tests (Files)                                                                            |         15 |      1,922 |        391 |        533 |      2,846 |
| tests\application                                                                        |          2 |          0 |          0 |          2 |          2 |
| tests\commands                                                                           |         14 |        918 |        194 |        272 |      1,384 |
| tests\commands (Files)                                                                   |          1 |          0 |          0 |          1 |          1 |
| tests\commands\display                                                                   |          2 |        292 |         51 |         81 |        424 |
| tests\commands\edit                                                                      |          8 |        626 |        143 |        187 |        956 |
| tests\commands\file                                                                      |          1 |          0 |          0 |          1 |          1 |
| tests\commands\io                                                                        |          2 |          0 |          0 |          2 |          2 |
| tests\input                                                                              |         11 |        207 |          0 |         16 |        223 |
| tests\integration                                                                        |          7 |        775 |        194 |        244 |      1,213 |
| tests\io                                                                                 |          8 |        841 |        174 |        211 |      1,226 |
| tests\spellcheck                                                                         |          1 |        103 |         14 |         32 |        149 |
| tests\stress                                                                             |          1 |        114 |         28 |         35 |        177 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\xy\Documents\GitHub\OOP_lab1\architecture.md                                    | Markdown         |        142 |          0 |         59 |        201 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\conftest.py                                        | Python           |         14 |          2 |          3 |         19 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\docs\architecture.md                               | Markdown         |        142 |          0 |         59 |        201 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\docs\dependencies.md                               | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\docs\design\module_dependencies.md                 | Markdown         |         53 |          0 |         20 |         73 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\docs\design\spellcheck.md                          | Markdown         |         84 |          0 |         31 |        115 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\docs\detailed_dependencies.md                      | Markdown         |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\lab1.md                                            | Markdown         |        210 |          0 |         86 |        296 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\main.py                                            | Python           |        208 |         27 |         50 |        285 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\pytest.ini                                         | Ini              |         18 |          0 |          2 |         20 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\requirements.txt                                   | pip requirements |          4 |          0 |          0 |          4 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\__init__.py                                    | Python           |          3 |          2 |          1 |          6 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\application\__init__.py                        | Python           |          3 |          0 |          1 |          4 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\application\command_parser.py                  | Python           |         93 |          6 |         21 |        120 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\__init__.py                           | Python           |          0 |          1 |          1 |          2 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\base.py                               | Python           |         99 |         13 |         28 |        140 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\commands\command_exceptions.py                 | Python           |         12 |          0 |          4 |         16 |
